NUCLEAR OPTION ; Version 0.30.2 ; Data exported on 19/04/2025 8:58:53 AM
Type ; UnitName ; Code ; Description ; Length ; Width ; Height ; equivalentSize ; Jet Thrust ; Turbine Power ; Turbine minRPM ; Turbine maxRPM ; IRMin ; IRMax ; visibleRange ; visualRange ; visualMagnification ; radarSize ; radarRange ; radarMinSignal; radarMaxSignal; radarClutterFactor; radarDopplerFactor ; radarJammerIntensity ; flareCapacity ; captureCapacity; captureStrength ; Value ; Manpower ; ArmorTier; Damage Tolerance ; roleSurface ; roleAir ; roleMissile ; roleRadar ; antiSurface ; antiAir ; antiMissile ; antiRadar
AircraftDefinition;CI-22 Cricket;CI-22;Designed for counter insurgency operations and low-intensity battlefields, the CI-22 Cricket features robust landing gear and short takeoff and landing capability, allowing it to operate from unprepared fields. While lacking in speed and survivability, the CI-22 possesses remarkable agility and the ability to mount an array of weapon types;10.4;11.6;3.4;15.94616;0;1500;200;3000;2;2.5;2000;10000;2;0.5;0;0;0;0;0;0;0;0;0;11.5;2;1;1;0;1;0;0;0.56;0.44;0;0
AircraftDefinition;T/A-30 Compass;T/A-30;An advanced jet trainer which is well suited for light combat duty, the T/A-30 is highly maneuverable at low to medium speeds and possesses forgiving flight characteristics. Particularly adept at low-altitude strike missions, the Compass features redundant control surfaces and twin engines to improve survivability. ;13.2;12.1;3.3;18.20824;28000;0;0;0;2;5;2500;10000;1;0.12;0;0;0;0;0;8;0;0;0;21.8;2;1;1;0;1;0;0;0.64;0.624;0;0
AircraftDefinition;SAH-46 Chicane;SAH-46;The SAH-46 Chicane retains a traditional attack helicopter configuation while incorporating upgrades that keep it a formidable presence on the battlefield of the late 21st Century. Cutting edge stealth technology allows the Chicane to conduct pop-up attacks from behind terrain and disappear from radar without a trace.;16.6;7.4;4.1;18.63143;0;1620;800;3000;1;1.5;2000;10000;1.5;0.02;0;0;0;0;0;0;0;2;0;35;2;1;1;0;1;0;0;0.896;0.272;0;0
AircraftDefinition;FS-12 Revoker;FS-12;The FS-12 Revoker is built for agility above all else, capable of extreme maneuvers at almost any speed. Internal weapon bays help reduce drag, allowing supersonic speeds even at low altitudes and with heavy payloads;15.8;11;5.2;19.94192;95000;0;0;0;3;11;3000;10000;0.7;0.08;40000;0.5;4;0.2;0.1;8;0;0;0;65;1;1;1;0;1;0;0.6;0.456;1;0;0.328
AircraftDefinition;FS-20 Vortex;FS-20;A compact and advanced multirole fighter, the Vortex is capable of operating vertically from small carriers and remaining undetected thanks to outstanding stealth characteristics. While fast, agile, and stealthy when lightly loaded, these characteristics can suffer when carrying a heavy payload of weapons.;14.1;9.3;3.1;17.17294;95000;0;0;0;3;8.8;2500;10000;0.7;0.001;50000;0.5;4;0.15;0.1;8;0;0;0;90;1;1;1;0;1;0;0.6;0.456;1;0;0.328
AircraftDefinition;VL-49 Tarantula;VL-49;Combining vertical lift capability with a 20 ton cargo capacity, this large quad tiltwing can deliver crucial supplies to forward positions or serve as a versatile gunship. Its 4 proprotors are linked by internal driveshafts, allowing the Tarantula to continue flying after absorbing significant damage. ;28.5;22.7;6.1;36.94252;0;4725;1000;3000;3;4;4500;10000;1.5;3;0;0;0;0;0;0;0;20;0;118;2;1;1;0;1;0;0;0.896;0.272;0;0
AircraftDefinition;KR-67 Ifrit;KR-67;A large, carrier capable, twin engine multirole fighter, the Ifrit is equally suited to air superiority and ground attack missions. It features excellent thrust and maneuverability alongside reduced radar signature and powerful sensors. Two internal weapon bays can conceal up to 6 missiles or bombs.;19;14.3;4.6;24.22086;105000;0;0;0;2;8;3500;10000;1;0.0015;50000;0.5;4;0.12;0.1;8;0;0;0;126;1;1;1;0;1;0;0.6;0.456;1;0;0.328
AircraftDefinition;EW-25 Medusa;EW-25;The EW-25 is a short take-off, vertical landing (STOVL) support aircraft with a variety of powerful electronic warfare systems. Able to triangulate radar positions, jam enemy radar installations, suppress air defences, and even shoot down missiles with a high energy laser, a single Medusa can easily turn the tide of a battle.;19.2;18.1;4.5;26.76752;65000;0;0;0;2;5;3500;10000;1;0.006;50000;0.5;4;0.15;0.1;8;0;0;0;145;4;1;1;0;1;0;0.8;0.312;0.36;0.73;1
AircraftDefinition;SFB-81 Darkreach;SFB-81;Featuring powerful engines, a stealthy silhouette, and 4 large internal weapon bays, the SFB-81 Darkreach is a formidable bomber capable of deploying both conventional and nuclear weapons. Its blended wing design allows the Darkreach to conduct operations in a variety of flight regimes, from low-altitude penetrating strikes to standoff strategic bombardment.;27.4;36.5;3.95;45.81062;210000;0;0;0;1;4;5000;12000;2;0.01;50000;0.5;4;0.3;0.1;8;0;0;0;225;2;1;1.5;0;1;0;0.5;1;0;0;0
VehicleDefinition;HLT Flatbed;HLT;Logistics vehicle with a loading system capable of handling a variety of tasks;10.1;2.7;3;10.87658;0;0;0;0;0;0;6000;3000;1;1;0;0;0;0;0;0;0;3;2;0.45;2;1;0.5;1;0;0;0;0;0;0;0
VehicleDefinition;LCV25 AA;LCV25;The LCV25 is a 4x4 all terrain vehicle, offered in AA or AT configurations, combining the agility of a light recon vehicle with the firepower of heavier fighting vehicles. It is air transportable, with 2 units fitting inside the cargo bay of a VL-49 Tarantula.;5.5;2.4;2.6;6.539878;0;0;0;0;0;0;4000;5000;1.5;1;0;0;0;0;0;0;0;3;3;0.45;4;2;0.3;1;0;0;0;0.25;0.5;0.25;0
VehicleDefinition;HLT Munitions Truck;HLT;Support vehicle capable of rearming friendly units within 300m;10.1;2.7;3.4;10.99364;0;0;0;0;0;0;6000;3000;1;1;0;0;0;0;0;0;0;3;2;0.45;2;1;0.5;1;0;0;0;0;0;0;0
VehicleDefinition;HLT Tractor;HLT;Heavy duty tractor cab for hauling large trailer systems;10.1;2.7;3;10.87658;0;0;0;0;0;0;6000;3000;1;1;0;0;0;0;0;0;0;3;2;0.45;2;1;0.5;1;0;0;0;0;0;0;0
VehicleDefinition;HLT Fuel Tanker;HLT;Airbase support vehicle capable of refueling aircraft parked within 300m;10.1;2.7;3;10.87658;0;0;0;0;0;0;6000;3000;1;1;0;0;0;0;0;0;0;3;2;0.45;2;1;0.5;1;0;0;0;0;0;0;0
VehicleDefinition;LCV25 AT;LCV25;The LCV25 is a 4x4 all terrain vehicle, offered in AA or AT configurations, combining the agility of a light recon vehicle with the firepower of heavier fighting vehicles. It is air transportable, with 2 units fitting inside the cargo bay of a VL-49 Tarantula.;5.5;2.4;2.6;6.539878;0;0;0;0;0;0;4000;5000;1;1;0;0;0;0;0;0;0;3;3;0.55;4;2;0.3;1;0;0;0;0.5;0.25;0;0
VehicleDefinition;LCV45 Recon Truck;LCV45;Though lightly armed and armored, the LCV45 is a fast vehicle ideal for forward scouting;6.6;2.5;3.6;7.922752;0;0;0;0;0;0;4500;6000;1;1;0;0;0;0;0;0;0;3;4;0.65;4;3;0.5;1;0;0;0;0.254;0.15;0;0
VehicleDefinition;AFV6 APC;APC;The AFV6 is a fast, lightweight multipurpose armoured vehicle. This is the default variant, an armoured personnel carrier. The increased seating capacity allows it to capture locations faster than other variants.;7.2;3;2.5;8.190848;0;0;0;0;0;0;5000;3000;1;1;0;0;0;0;0;0;0;8;12;1.3;12;3;1;1;0;0;0;0.399;0.15;0;0
VehicleDefinition;AFV6 IFV;IFV;The AFV6 is a fast, lightweight multipurpose armoured vehicle. This variant is an infantry fighting vehicle with a 25mm cannon.;7.2;3;2.5;8.190848;0;0;0;0;0;0;5000;4000;1;1;0;0;0;0;0;0;0;6;9;1.5;9;3;1;1;0;0;0;0.5;0.15;0;0
VehicleDefinition;AFV6 AA;AA;The AFV6 is a fast, lightweight multipurpose armoured vehicle. This is a short range air-defence variant, with a potent 20mm rotary cannon and an IRM-S1 launcher.;7.2;3;2.5;8.190848;0;0;0;0;0;0;5000;6000;2;1;0;0;0;0;0;0;0;4;3;1.8;3;3;1;1;0;0;0;0.1;0.63;0.619;0
VehicleDefinition;AFV6 AT;AT;The AFV6 is a fast, lightweight multipurpose armoured vehicle. This is an anti-armour variant, equipped with a large, long range multiple ATGM launcher. Internal stores of extra missiles reduce seating capacity substantially.;7.2;3;2.5;8.190848;0;0;0;0;0;0;5000;6500;1;1;0;0;0;0;0;0;0;4;3;2.1;3;3;1;1;0;0;0;1;0.1;0;0
